"","job","marital","education","balance","housing","loan","month","campaign","pdays","previous","poutcome","y"
"75","retired","married","secondary",344,"yes","no","may",1,-1,0,"nonexistent","no"
"76","management","divorced","tertiary",3222,"no","no","aug",2,-1,0,"nonexistent","no"
"77","blue-collar","divorced","secondary",174,"yes","no","may",2,297,1,"nonexistent","no"
"78","technician","single","secondary",591,"no","yes","aug",6,-1,0,"nonexistent","no"
"79","blue-collar","divorced","primary",388,"no","no","feb",1,-1,0,"nonexistent","no"
"80","unemployed","married","secondary",219,"yes","no","nov",2,196,1,"failure","no"
"81","admin.","divorced","secondary",451,"yes","no","jul",1,-1,0,"nonexistent","yes"
"82","retired","married","primary",5,"no","no","aug",2,-1,0,"nonexistent","no"
"83","admin.","single","secondary",177,"yes","yes","may",1,-1,0,"nonexistent","no"
"84","services","married","secondary",657,"no","no","jul",2,460,2,"failure","yes"
"85","management","married","tertiary",1315,"no","no","jun",1,-1,0,"nonexistent","yes"
"86","blue-collar","married","primary",1466,"yes","no","may",2,-1,0,"nonexistent","no"
"87","technician","single","secondary",879,"no","yes","jul",4,-1,0,"nonexistent","no"
"88","blue-collar","single","primary",293,"yes","no","may",2,-1,0,"nonexistent","no"
"89","admin.","married","secondary",424,"yes","no","apr",1,-1,0,"nonexistent","no"
"90","blue-collar","married","secondary",1831,"yes","no","may",2,-1,0,"nonexistent","no"
"91","blue-collar","married","primary",111,"no","no","nov",2,-1,0,"nonexistent","no"
"92","blue-collar","married","primary",455,"yes","no","jun",3,-1,0,"nonexistent","no"
"93","services","single","secondary",-195,"yes","no","may",1,-1,0,"nonexistent","yes"
"94","management","single","tertiary",3616,"no","no","aug",2,-1,0,"nonexistent","no"
"95","blue-collar","married","secondary",14093,"no","no","aug",5,-1,0,"nonexistent","no"
"97","admin.","married","tertiary",5426,"yes","no","may",2,-1,0,"nonexistent","no"
"98","admin.","single","tertiary",261,"no","no","oct",1,137,20,"failure","no"
"99","blue-collar","divorced","secondary",2843,"no","no","feb",1,182,1,"success","no"
"100","unemployed","single","primary",406,"no","no","feb",1,-1,0,"nonexistent","yes"
"101","blue-collar","married","secondary",0,"yes","no","may",1,-1,0,"nonexistent","no"
"102","management","single","tertiary",493,"yes","no","may",1,367,7,"failure","no"
"103","technician","married","secondary",5996,"no","no","nov",2,-1,0,"nonexistent","no"
"104","services","single","primary",3777,"yes","no","may",2,-1,0,"nonexistent","no"
"105","management","single","secondary",524,"no","no","aug",1,-1,0,"nonexistent","no"
"106","management","single","tertiary",574,"yes","no","apr",2,145,3,"failure","no"
"107","blue-collar","married","secondary",427,"yes","yes","jun",3,-1,0,"nonexistent","no"
"108","self-employed","married","tertiary",483,"yes","no","feb",2,-1,0,"nonexistent","no"
"109","unemployed","married","primary",3391,"no","no","apr",1,-1,0,"nonexistent","yes"
"110","housemaid","married","primary",0,"yes","no","jul",3,-1,0,"nonexistent","no"
"111","student","single","secondary",2488,"no","no","jun",6,169,3,"success","yes"
"112","management","married","tertiary",1517,"yes","no","jul",5,-1,0,"nonexistent","no"
"113","self-employed","married","secondary",217,"yes","yes","jul",5,-1,0,"nonexistent","no"
"114","blue-collar","single","secondary",22,"no","no","jan",2,207,1,"failure","no"
"115","student","single","secondary",331,"no","no","aug",4,-1,0,"nonexistent","yes"
"116","technician","single","secondary",505,"no","yes","nov",2,-1,0,"nonexistent","yes"
"117","services","married","secondary",1808,"yes","no","may",2,-1,0,"nonexistent","no"
"118","admin.","single","secondary",4111,"no","yes","aug",1,-1,0,"nonexistent","no"
"119","blue-collar","married","primary",52,"no","no","aug",1,-1,0,"nonexistent","no"
"120","management","divorced","tertiary",25,"no","no","jun",2,-1,0,"nonexistent","no"
"121","admin.","divorced","secondary",1890,"yes","no","jul",1,-1,0,"nonexistent","no"
"122","blue-collar","married","primary",419,"no","no","aug",4,-1,0,"nonexistent","no"
"123","technician","married","secondary",2693,"yes","no","may",1,-1,0,"nonexistent","no"
"124","blue-collar","married","secondary",-231,"no","yes","jul",2,-1,0,"nonexistent","no"
"125","management","single","tertiary",-55,"yes","no","may",2,266,6,"failure","no"
"126","self-employed","single","tertiary",462,"no","no","aug",3,-1,0,"nonexistent","yes"
"127","unemployed","single","secondary",119,"no","no","sep",1,-1,0,"nonexistent","no"
"128","technician","single","secondary",586,"no","yes","jul",3,-1,0,"nonexistent","no"
"129","blue-collar","single","secondary",228,"no","no","feb",1,288,3,"failure","no"
"130","retired","divorced","tertiary",4659,"no","no","apr",1,-1,0,"nonexistent","yes"
"131","blue-collar","married","primary",168,"yes","no","nov",3,-1,0,"nonexistent","no"
"132","blue-collar","married","primary",0,"yes","no","may",1,-1,0,"nonexistent","no"
"135","technician","single","secondary",769,"yes","no","may",2,-1,0,"nonexistent","no"
"136","management","single","tertiary",0,"no","no","aug",10,-1,0,"nonexistent","no"
"137","admin.","single","secondary",428,"yes","yes","may",1,345,2,"failure","no"
"138","management","single","tertiary",0,"no","no","feb",1,-1,0,"nonexistent","no"
"139","management","married","tertiary",-970,"yes","no","feb",1,-1,0,"nonexistent","yes"
"141","management","divorced","tertiary",948,"no","no","aug",2,-1,0,"nonexistent","no"
"142","management","single","tertiary",0,"yes","no","jul",2,-1,0,"nonexistent","no"
"144","management","single","tertiary",874,"yes","no","nov",2,-1,0,"nonexistent","no"
"145","admin.","married","secondary",323,"yes","yes","may",2,-1,0,"nonexistent","no"
"146","management","married","tertiary",106,"no","yes","aug",2,-1,0,"nonexistent","no"
"147","retired","married","primary",1906,"no","yes","jun",9,-1,0,"nonexistent","no"
"148","technician","married","secondary",1152,"yes","no","jul",5,-1,0,"nonexistent","no"
"149","admin.","married","secondary",179,"yes","no","jan",4,436,1,"nonexistent","no"
"152","management","single","tertiary",442,"yes","yes","jul",3,-1,0,"nonexistent","no"
"153","unemployed","divorced","primary",-249,"yes","yes","jul",1,-1,0,"nonexistent","no"
"154","entrepreneur","married","secondary",8104,"no","no","feb",2,-1,0,"nonexistent","no"
"155","technician","married","secondary",501,"no","no","may",1,-1,0,"nonexistent","no"
"156","technician","divorced","secondary",308,"no","no","aug",2,-1,0,"nonexistent","no"
"157","admin.","married","secondary",602,"no","no","jun",3,90,2,"success","yes"
"158","technician","married","secondary",273,"yes","no","jan",3,183,3,"failure","no"
"159","self-employed","single","secondary",50,"no","no","jan",1,-1,0,"nonexistent","no"
"160","technician","married","secondary",1641,"yes","no","apr",1,-1,0,"nonexistent","no"
"161","blue-collar","married","tertiary",20,"no","no","oct",1,-1,0,"nonexistent","no"
"162","admin.","single","secondary",4590,"yes","no","may",2,-1,0,"nonexistent","no"
"163","admin.","single","secondary",-256,"no","yes","may",3,-1,0,"nonexistent","no"
"164","services","married","secondary",978,"yes","yes","may",2,-1,0,"nonexistent","no"
"165","management","single","tertiary",80,"no","no","oct",2,146,2,"failure","yes"
"166","admin.","single","secondary",2104,"yes","no","jun",1,-1,0,"nonexistent","no"
"167","housemaid","married","secondary",499,"no","no","mar",4,-1,0,"nonexistent","no"
"168","blue-collar","divorced","secondary",1269,"yes","no","jan",2,-1,0,"nonexistent","no"
"169","technician","married","tertiary",310,"no","no","may",1,-1,0,"nonexistent","no"
"170","blue-collar","single","secondary",1143,"yes","yes","jul",1,-1,0,"nonexistent","no"
"171","technician","married","secondary",2980,"no","no","jun",3,-1,0,"nonexistent","no"
"172","management","single","tertiary",37,"no","no","jan",2,-1,0,"nonexistent","no"
"173","admin.","single","secondary",462,"yes","yes","apr",1,335,4,"nonexistent","no"
"174","admin.","married","secondary",1031,"yes","no","jul",1,-1,0,"nonexistent","no"
"175","management","married","tertiary",9009,"no","no","nov",2,-1,0,"nonexistent","no"
"176","admin.","married","secondary",-465,"yes","yes","jul",1,-1,0,"nonexistent","no"
"177","admin.","married","secondary",5181,"yes","yes","jul",7,-1,0,"nonexistent","no"
"178","admin.","married","secondary",176,"yes","no","may",2,347,1,"failure","no"
"180","admin.","married","tertiary",0,"yes","no","nov",2,119,1,"failure","no"
"181","technician","single","tertiary",172,"yes","yes","feb",2,-1,0,"nonexistent","no"
"182","services","single","secondary",0,"no","yes","jul",2,-1,0,"nonexistent","no"
"183","admin.","single","secondary",6979,"yes","no","may",5,-1,0,"nonexistent","no"
"184","admin.","divorced","secondary",6,"no","no","jun",1,-1,0,"nonexistent","no"
"185","services","married","secondary",-62,"yes","no","jun",3,-1,0,"nonexistent","no"
"186","self-employed","married","tertiary",1972,"yes","no","jul",2,-1,0,"nonexistent","no"
"187","admin.","married","tertiary",899,"yes","no","nov",3,7,4,"success","no"
"188","services","single","secondary",21,"yes","no","feb",1,271,2,"nonexistent","no"
"189","technician","married","secondary",23,"yes","no","may",2,347,1,"failure","no"
"190","retired","married","secondary",-1206,"yes","no","jun",2,-1,0,"nonexistent","yes"
"191","blue-collar","married","primary",0,"yes","yes","jul",6,-1,0,"nonexistent","no"
"192","self-employed","married","secondary",215,"yes","no","jul",12,-1,0,"nonexistent","no"
"193","management","single","tertiary",1372,"no","no","nov",2,-1,0,"nonexistent","no"
"194","services","married","secondary",1981,"no","no","jun",2,-1,0,"nonexistent","no"
"195","student","single","secondary",9216,"no","no","jun",2,-1,0,"nonexistent","no"
"196","retired","divorced","secondary",39,"yes","no","jul",3,-1,0,"nonexistent","no"
"197","blue-collar","single","secondary",5563,"yes","no","may",2,-1,0,"nonexistent","no"
"198","services","married","secondary",1,"no","yes","nov",2,-1,0,"nonexistent","no"
"199","technician","married","tertiary",782,"no","no","apr",1,-1,0,"nonexistent","no"
"200","retired","married","secondary",3771,"no","no","apr",1,181,2,"success","yes"
"201","technician","single","tertiary",992,"yes","no","may",1,88,2,"success","no"
"202","technician","married","secondary",1526,"no","no","aug",2,-1,0,"nonexistent","no"
"203","technician","single","tertiary",2658,"yes","no","aug",2,141,3,"failure","yes"
"204","management","divorced","tertiary",1315,"yes","no","nov",4,126,1,"failure","no"
"205","blue-collar","single","tertiary",455,"no","no","apr",1,-1,0,"nonexistent","yes"
"206","technician","single","tertiary",0,"yes","no","nov",2,-1,0,"nonexistent","no"
"207","technician","married","secondary",2030,"yes","yes","jul",1,-1,0,"nonexistent","no"
"208","technician","married","secondary",1599,"yes","no","jul",1,61,1,"failure","no"
"209","services","single","secondary",-196,"yes","no","feb",1,271,1,"failure","no"
"210","retired","married","secondary",1333,"no","no","aug",14,-1,0,"nonexistent","no"
"211","technician","single","secondary",9149,"yes","no","aug",3,-1,0,"nonexistent","no"
"212","blue-collar","single","secondary",-350,"yes","no","jun",3,-1,0,"nonexistent","no"
"213","technician","married","tertiary",432,"yes","no","may",2,373,1,"nonexistent","no"
"214","self-employed","married","secondary",11494,"no","no","nov",1,-1,0,"nonexistent","no"
"215","management","married","tertiary",-253,"no","no","aug",4,-1,0,"nonexistent","no"
"216","management","married","tertiary",372,"yes","no","aug",2,-1,0,"nonexistent","yes"
"217","technician","married","secondary",1410,"no","no","aug",2,-1,0,"nonexistent","no"
"218","blue-collar","married","secondary",975,"yes","no","may",2,351,2,"failure","no"
"219","blue-collar","married","primary",305,"yes","yes","jul",10,-1,0,"nonexistent","no"
"220","services","married","secondary",400,"no","no","aug",3,-1,0,"nonexistent","no"
"221","retired","married","tertiary",-22,"yes","no","jul",3,-1,0,"nonexistent","no"
"222","technician","married","secondary",4030,"yes","no","may",5,-1,0,"nonexistent","no"
"223","blue-collar","married","primary",365,"no","no","may",2,-1,0,"nonexistent","no"
"224","self-employed","married","primary",204,"no","no","aug",7,-1,0,"nonexistent","no"
"225","management","married","primary",1691,"yes","no","nov",1,-1,0,"nonexistent","no"
"226","services","single","secondary",406,"yes","no","may",1,-1,0,"nonexistent","no"
"227","technician","married","secondary",-204,"no","no","may",3,-1,0,"nonexistent","no"
"228","technician","married","secondary",359,"yes","no","apr",1,242,1,"nonexistent","no"
"229","blue-collar","married","primary",123,"yes","no","may",1,-1,0,"nonexistent","no"
"230","technician","married","tertiary",0,"yes","yes","sep",1,62,6,"nonexistent","no"
"232","entrepreneur","married","tertiary",3571,"no","no","jun",3,-1,0,"nonexistent","no"
"233","technician","single","secondary",33,"yes","no","may",3,351,10,"failure","no"
"234","blue-collar","single","secondary",0,"yes","no","jul",2,91,5,"success","no"
"235","student","single","secondary",3096,"no","no","jan",1,-1,0,"nonexistent","no"
"236","technician","divorced","secondary",20,"no","no","aug",3,-1,0,"nonexistent","no"
"237","blue-collar","married","secondary",3576,"yes","no","apr",1,308,2,"nonexistent","no"
"239","housemaid","married","primary",7082,"no","no","jun",3,-1,0,"nonexistent","no"
"240","unemployed","married","tertiary",1634,"yes","no","jul",4,-1,0,"nonexistent","no"
"241","admin.","single","secondary",1,"yes","no","jul",7,-1,0,"nonexistent","no"
"242","self-employed","married","tertiary",4012,"no","no","nov",3,-1,0,"nonexistent","no"
"243","management","married","tertiary",3762,"no","no","aug",12,-1,0,"nonexistent","no"
"244","admin.","married","secondary",-247,"yes","yes","jun",2,-1,0,"nonexistent","no"
"245","blue-collar","married","secondary",606,"yes","no","may",2,-1,0,"nonexistent","no"
"246","management","married","tertiary",0,"yes","no","jan",1,250,1,"nonexistent","no"
"247","management","married","secondary",-189,"yes","no","may",2,-1,0,"nonexistent","no"
"248","unemployed","single","secondary",0,"no","no","may",2,-1,0,"nonexistent","no"
"249","management","married","tertiary",484,"yes","no","jul",2,-1,0,"nonexistent","no"
"250","technician","married","secondary",0,"no","yes","may",2,172,5,"failure","no"
"251","management","married","tertiary",395,"yes","no","feb",3,-1,0,"nonexistent","no"
"252","management","married","tertiary",2349,"no","no","aug",5,-1,0,"nonexistent","no"
"253","blue-collar","divorced","primary",410,"no","yes","jul",2,-1,0,"nonexistent","no"
"254","retired","married","primary",3401,"yes","no","feb",3,265,2,"failure","no"
"255","blue-collar","married","primary",222,"no","no","aug",2,-1,0,"nonexistent","no"
"256","blue-collar","married","secondary",989,"yes","yes","may",4,-1,0,"nonexistent","no"
"257","management","married","tertiary",415,"no","yes","jul",2,-1,0,"nonexistent","no"
"258","unemployed","single","secondary",16,"no","no","aug",4,-1,0,"nonexistent","no"
"259","technician","divorced","tertiary",7190,"yes","no","jul",2,-1,0,"nonexistent","no"
"260","blue-collar","single","secondary",482,"no","yes","jul",3,-1,0,"nonexistent","yes"
"261","housemaid","married","secondary",209,"yes","yes","jul",1,-1,0,"nonexistent","no"
"262","technician","single","secondary",0,"no","no","aug",2,-1,0,"nonexistent","no"
"263","technician","single","tertiary",5803,"no","no","feb",3,-1,0,"nonexistent","no"
"264","entrepreneur","married","tertiary",624,"no","yes","jul",4,-1,0,"nonexistent","no"
"265","technician","married","tertiary",883,"no","no","aug",1,78,2,"failure","no"
"266","self-employed","married","secondary",1516,"yes","yes","may",1,-1,0,"nonexistent","no"
"267","student","single","secondary",872,"yes","no","may",1,-1,0,"nonexistent","no"
"268","technician","married","tertiary",-988,"yes","yes","jul",3,-1,0,"nonexistent","no"
"269","admin.","single","secondary",902,"yes","no","jul",13,-1,0,"nonexistent","no"
"270","services","divorced","secondary",1007,"no","no","jul",6,-1,0,"nonexistent","no"
"271","services","married","secondary",0,"yes","no","jun",1,28,3,"failure","no"
"272","blue-collar","single","secondary",174,"yes","yes","may",1,-1,0,"nonexistent","yes"
"273","management","married","secondary",12186,"no","no","jun",3,-1,0,"nonexistent","no"
"274","self-employed","married","secondary",524,"yes","no","nov",4,-1,0,"nonexistent","no"
"275","blue-collar","single","tertiary",0,"yes","no","jul",4,-1,0,"nonexistent","no"
"276","technician","married","secondary",4,"yes","no","may",1,-1,0,"nonexistent","no"
"277","housemaid","married","tertiary",11219,"no","no","aug",2,79,1,"failure","no"
"278","technician","single","tertiary",0,"no","no","aug",2,-1,0,"nonexistent","no"
"279","blue-collar","married","primary",5776,"no","no","nov",3,-1,0,"nonexistent","no"
"280","blue-collar","divorced","primary",37,"yes","no","may",1,-1,0,"nonexistent","no"
"281","self-employed","married","tertiary",593,"no","no","may",2,-1,0,"nonexistent","no"
"282","blue-collar","married","secondary",1148,"yes","no","apr",1,-1,0,"nonexistent","no"
"283","blue-collar","single","secondary",3561,"yes","no","jun",1,-1,0,"nonexistent","no"
"284","admin.","divorced","secondary",63,"no","no","may",6,-1,0,"nonexistent","no"
"285","student","married","secondary",260,"no","no","jun",6,-1,0,"nonexistent","no"
"286","technician","single","tertiary",2269,"yes","no","may",1,-1,0,"nonexistent","no"
"287","admin.","married","secondary",1060,"yes","no","jun",3,-1,0,"nonexistent","no"
"288","self-employed","married","secondary",-220,"yes","no","may",2,-1,0,"nonexistent","no"
"289","management","married","tertiary",49,"yes","no","jul",5,-1,0,"nonexistent","no"
"290","admin.","married","tertiary",69,"no","yes","aug",3,1,6,"success","yes"
"291","blue-collar","married","primary",4108,"yes","no","aug",2,-1,0,"nonexistent","yes"
"292","blue-collar","married","secondary",480,"yes","no","may",2,-1,0,"nonexistent","no"
"293","services","married","secondary",4994,"no","no","aug",6,-1,0,"nonexistent","no"
"294","technician","divorced","secondary",0,"yes","yes","jul",5,-1,0,"nonexistent","no"
"295","management","married","tertiary",3681,"no","no","aug",2,-1,0,"nonexistent","no"
"297","management","married","tertiary",451,"no","no","jan",1,-1,0,"nonexistent","no"
"298","blue-collar","divorced","primary",-311,"yes","no","may",1,-1,0,"nonexistent","yes"
"299","entrepreneur","married","secondary",593,"yes","yes","jul",24,-1,0,"nonexistent","yes"
"300","blue-collar","married","secondary",759,"yes","no","apr",5,-1,0,"nonexistent","yes"
"301","retired","divorced","primary",4531,"no","no","may",1,-1,0,"nonexistent","no"
"302","retired","divorced","primary",1840,"no","no","jun",2,188,5,"failure","no"
"303","blue-collar","married","secondary",345,"yes","no","jul",1,-1,0,"nonexistent","no"
"304","blue-collar","married","secondary",1287,"yes","no","jul",2,-1,0,"nonexistent","no"
"306","technician","married","secondary",205,"no","yes","jul",2,-1,0,"nonexistent","no"
"307","entrepreneur","married","secondary",687,"yes","no","apr",1,-1,0,"nonexistent","yes"
"308","unemployed","married","primary",1147,"yes","yes","may",5,-1,0,"nonexistent","no"
"309","management","married","tertiary",4286,"yes","no","may",1,-1,0,"nonexistent","no"
"310","admin.","married","tertiary",605,"no","no","nov",2,-1,0,"nonexistent","no"
"311","blue-collar","married","secondary",8545,"yes","yes","may",7,167,1,"failure","no"
"313","blue-collar","single","primary",2,"yes","no","jul",3,-1,0,"nonexistent","no"
"314","management","married","tertiary",2,"no","yes","aug",2,-1,0,"nonexistent","no"
"315","admin.","single","tertiary",760,"yes","no","may",3,89,2,"failure","yes"
"316","blue-collar","married","primary",1317,"yes","no","may",2,-1,0,"nonexistent","no"
"317","blue-collar","married","secondary",182,"no","no","feb",1,-1,0,"nonexistent","no"
"318","admin.","married","primary",276,"no","yes","jun",6,-1,0,"nonexistent","no"
"319","entrepreneur","married","secondary",2971,"no","no","may",4,164,2,"failure","yes"
"320","unemployed","single","secondary",1064,"no","no","may",1,-1,0,"nonexistent","no"
"322","blue-collar","married","secondary",-67,"no","no","feb",1,-1,0,"nonexistent","no"
"323","self-employed","single","tertiary",179,"no","yes","jul",4,-1,0,"nonexistent","no"
"324","management","married","tertiary",1199,"no","no","aug",1,1,1,"success","yes"
"325","blue-collar","married","primary",214,"yes","yes","jun",1,-1,0,"nonexistent","no"
"326","technician","married","secondary",6699,"no","no","nov",1,462,1,"failure","no"
"327","unemployed","married","secondary",1760,"no","yes","nov",1,-1,0,"nonexistent","no"
"328","entrepreneur","single","tertiary",145,"yes","no","jul",2,-1,0,"nonexistent","yes"
"329","unemployed","married","secondary",978,"no","no","dec",3,209,3,"success","yes"
"330","admin.","single","secondary",1150,"yes","no","may",1,-1,0,"nonexistent","no"
"331","admin.","married","secondary",121,"no","no","jul",6,-1,0,"nonexistent","no"
"332","technician","single","tertiary",828,"yes","no","apr",3,321,3,"nonexistent","no"
"333","admin.","married","secondary",244,"yes","no","jul",4,-1,0,"nonexistent","no"
"334","services","married","primary",228,"yes","no","jul",6,-1,0,"nonexistent","yes"
"335","management","single","tertiary",424,"no","no","apr",4,-1,0,"nonexistent","yes"
"336","management","divorced","tertiary",447,"no","yes","may",1,-1,0,"nonexistent","no"
"337","blue-collar","married","primary",-195,"no","no","sep",1,-1,0,"nonexistent","no"
"338","management","single","tertiary",1410,"yes","no","feb",1,254,5,"failure","no"
"339","retired","married","primary",1084,"no","no","oct",1,183,1,"success","no"
"340","self-employed","divorced","primary",10924,"no","no","may",2,-1,0,"nonexistent","no"
"341","management","married","tertiary",832,"yes","yes","nov",1,176,1,"failure","no"
"342","retired","married","tertiary",478,"no","no","feb",1,-1,0,"nonexistent","no"
"343","management","single","tertiary",0,"no","yes","jul",1,-1,0,"nonexistent","no"
"344","self-employed","single","tertiary",3950,"yes","no","may",2,-1,0,"nonexistent","no"
"346","blue-collar","single","secondary",219,"yes","yes","may",2,347,1,"failure","no"
"347","management","married","tertiary",1602,"no","no","jul",3,-1,0,"nonexistent","no"
"348","management","married","primary",2587,"no","no","sep",2,94,2,"success","yes"
"349","admin.","married","secondary",0,"yes","yes","may",1,-1,0,"nonexistent","no"
"350","self-employed","married","tertiary",2303,"yes","no","may",2,364,1,"failure","no"
"351","blue-collar","married","secondary",1660,"yes","no","apr",1,-1,0,"nonexistent","no"
"352","management","married","tertiary",32,"yes","no","nov",1,-1,0,"nonexistent","no"
"353","management","married","tertiary",278,"no","yes","jul",3,-1,0,"nonexistent","no"
"354","management","married","tertiary",4,"no","no","nov",1,96,2,"failure","no"
"355","management","married","tertiary",318,"yes","no","may",2,356,4,"failure","no"
"356","services","single","secondary",209,"yes","no","may",2,-1,0,"nonexistent","no"
"357","services","married","secondary",271,"yes","no","may",4,-1,0,"nonexistent","no"
"359","admin.","divorced","secondary",4099,"no","no","apr",2,-1,0,"nonexistent","yes"
"360","student","single","secondary",2572,"yes","no","may",1,-1,0,"nonexistent","no"
"361","management","single","tertiary",339,"no","no","nov",6,-1,0,"nonexistent","no"
"362","blue-collar","married","primary",0,"yes","yes","may",2,-1,0,"nonexistent","no"
"363","housemaid","married","primary",395,"yes","no","may",2,-1,0,"nonexistent","no"
